Fund,Company Name,Deployment Address,Deployment City,Deployment State,Deployment ZIP Code,Locations Deployed,Download/Upload Speed Tier,Deployment Year,Census Block,Latitude,Longitude,SAC
CAF II,"CENTURYLINK, INC.",1128 ROLLING RD S,SCOTTSVILLE,VA,24590,2,10 Mbps/1 Mbps,2017,510650203001140,37.815272,-78.374512,190567
CAF II,"CENTURYLINK, INC.",3598 W MIDLAND TRL,LEXINGTON,VA,24450,1,10 Mbps/1 Mbps,2017,511639302003177,37.86564,-79.512702,190567
CAF II,"CENTURYLINK, INC.",7574 OLD GREEN MOUNTAIN RD,ESMONT,VA,22937,2,10 Mbps/1 Mbps,2017,510030114003044,37.828176,-78.636747,190567
CAF II,"CENTURYLINK, INC.",91 QUESTION MARK LN,LEXINGTON,VA,24450,1,10 Mbps/1 Mbps,2017,511639303003083,37.736573,-79.589181,190567
CAF II,"CENTURYLINK, INC.",4704 DOGWOOD DR,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650202001022,37.933456,-78.191461,190567
CAF II,"CENTURYLINK, INC.",576 RIVERBEND RD,STANLEY,VA,22851,1,10 Mbps/1 Mbps,2017,511390305001145,38.588088,-78.579215,190567
CAF II,"CENTURYLINK, INC.",325 TROY HEIGHTS LN,TROY,VA,22974,1,10 Mbps/1 Mbps,2017,510650201011050,37.929856,-78.220692,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.5 MILES SW OF W RIVER RD & HARDWARE RD,SCOTTSVILLE,VA,24590,1,10 Mbps/1 Mbps,2017,510650203002046,37.779189,-78.393407,190567
CAF II,"CENTURYLINK, INC.",4500 OLDFIELDS RD,FREE UNION,VA,22940,1,10 Mbps/1 Mbps,2017,510030101003001,38.159117,-78.572996,190567
CAF II,"CENTURYLINK, INC.",2669 FRAYS MILL RD,CHARLOTTESVILLE,VA,22911,1,10 Mbps/1 Mbps,2017,510030102011021,38.188704,-78.407698,190567
CAF II,"CENTURYLINK, INC.",1255 WIDE GAP RD,LEXINGTON,VA,24450,1,10 Mbps/1 Mbps,2017,511639303003088,37.74577,-79.590218,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES S OF MILLINGTON STABLE LN & MILLINGTON RD,FREE UNION,VA,22940,1,10 Mbps/1 Mbps,2017,510030101003092,38.122839,-78.602492,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES N OF PEBBLE DR & BULL YEARLING RD,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301011059,38.34466,-78.477164,190567
CAF II,"CENTURYLINK, INC.",112 BRYANT HOLW,LEXINGTON,VA,24450,1,10 Mbps/1 Mbps,2017,511639303005050,37.845917,-79.522133,190567
CAF II,"CENTURYLINK, INC.",4933 FRYS PATH,CHARLOTTESVILLE,VA,22902,2,10 Mbps/1 Mbps,2017,510030113014022,37.901175,-78.549044,190567
CAF II,"CENTURYLINK, INC.",2939 BYBEES CHURCH RD,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650201011050,37.922529,-78.214284,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.6 MILES NE OF TEEL MOUNTAIN RD & S RIVER RD,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301011041,38.345526,-78.44359,190567
CAF II,"CENTURYLINK, INC.",640 SUNCREST DR,SCOTTSVILLE,VA,24590,5,10 Mbps/1 Mbps,2017,510650203002017,37.833536,-78.422107,190567
CAF II,"CENTURYLINK, INC.",4134 W MIDLAND TRL,LEXINGTON,VA,24450,2,10 Mbps/1 Mbps,2017,511639302003182,37.865871,-79.532405,190567
CAF II,"CENTURYLINK, INC.",206 MOHLERS LOOP,LEXINGTON,VA,24450,2,10 Mbps/1 Mbps,2017,511639302003152,37.882295,-79.506833,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES NE OF TURKEY RIDGE RD & BULL YEARLING RD,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301011059,38.342989,-78.460264,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES E OF DICK WOODS RD & BLOOMFIELD RD,IVY,VA,22903,1,10 Mbps/1 Mbps,2017,510030110004012,38.038467,-78.592378,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES W OF PONDS DR & CORA LN,EAST LEXINGTON,VA,24450,3,10 Mbps/1 Mbps,2017,511639301002061,37.790644,-79.411193,190567
CAF II,"CENTURYLINK, INC.",205 TILLMAN LN,SCHUYLER,VA,22969,1,10 Mbps/1 Mbps,2017,511259501001049,37.782342,-78.6985,190567
CAF II,"CENTURYLINK, INC.",806 MOUNT ATLAS RD,LEXINGTON,VA,24450,1,10 Mbps/1 Mbps,2017,511639301006038,37.862524,-79.364203,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES E OF RUTHERFORD RD & FREE UNION RD,FREE UNION,VA,22901,1,10 Mbps/1 Mbps,2017,510030101003020,38.150835,-78.55691,190567
CAF II,"CENTURYLINK, INC.",4170 GARTH RD,CROZET,VA,22932,1,10 Mbps/1 Mbps,2017,510030101003065,38.120215,-78.63765,190567
CAF II,"CENTURYLINK, INC.",3841 DOGWOOD DR,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650202001059,37.925012,-78.183296,190567
CAF II,"CENTURYLINK, INC.",2977 BYBEES CHURCH RD,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650201011050,37.922978,-78.213437,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.1 MILES NE OF W MIDLAND TRL & SOURWOOD LN,EAST LEXINGTON,VA,24450,1,10 Mbps/1 Mbps,2017,511639302003187,37.861848,-79.510204,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.3 MILES SE OF W RIVER RD & ROCKFISH RUN RD,SCOTTSVILLE,VA,24590,2,10 Mbps/1 Mbps,2017,510650203002046,37.781957,-78.381753,190567
CAF II,"CENTURYLINK, INC.",60 BLACKSBURG LN,BUENA VISTA,VA,24416,1,10 Mbps/1 Mbps,2017,511639301004076,37.817541,-79.321758,190567
CAF II,"CENTURYLINK, INC.",7801 OLD DOMINION RD,SCHUYLER,VA,22969,1,10 Mbps/1 Mbps,2017,510030114004038,37.822711,-78.668687,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.1 MILES SE OF GREENMONT FARM & FRYS PATH,ESMONT,VA,22902,1,10 Mbps/1 Mbps,2017,510030113014024,37.886494,-78.572774,190567
CAF II,"CENTURYLINK, INC.",754 RIVERBEND RD,STANLEY,VA,22851,2,10 Mbps/1 Mbps,2017,511390305001145,38.586993,-78.581877,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES SE OF MUTTON HOLLOW RD & MATTIES RUN RD,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301021002,38.311607,-78.502413,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.3 MILES W OF VENABLE RD & KENTS STORE WAY,PALMYRA,VA,23084,1,10 Mbps/1 Mbps,2017,510650202002008,37.879449,-78.135685,190567
CAF II,"CENTURYLINK, INC.",4838 FREE UNION RD,FREE UNION,VA,22940,1,10 Mbps/1 Mbps,2017,510030101003001,38.168751,-78.576107,190567
CAF II,"CENTURYLINK, INC.",1630 STUARTSBURG RD,BUENA VISTA,VA,24416,2,10 Mbps/1 Mbps,2017,511639301002076,37.782306,-79.389318,190567
CAF II,"CENTURYLINK, INC.",1985 HUNTERS LODGE RD,TROY,VA,22974,1,10 Mbps/1 Mbps,2017,510650201011047,37.934922,-78.212869,190567
CAF II,"CENTURYLINK, INC.",3913 DOGWOOD DR,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650202001059,37.926206,-78.185277,190567
CAF II,"CENTURYLINK, INC.",4115 CLARK RD,CROZET,VA,22932,1,10 Mbps/1 Mbps,2017,510030101002124,38.127415,-78.64516,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES NW OF PEBBLE DR & BULL YEARLING RD,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301011059,38.343632,-78.477487,190567
CAF II,"CENTURYLINK, INC.",4167 RISING SUN RD,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650202001069,37.899764,-78.221673,190567
CAF II,"CENTURYLINK, INC.",2589 BYBEES CHURCH RD,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650201011050,37.921455,-78.22043,190567
CAF II,"CENTURYLINK, INC.",1382 BRANDLIN DR,CHARLOTTESVILLE,VA,22902,3,10 Mbps/1 Mbps,2017,510030113014026,37.88803,-78.547978,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.3 MILES S OF S CONSTITUTION RTE & RIDGE LN,SCOTTSVILLE,VA,24590,1,10 Mbps/1 Mbps,2017,510299301011041,37.732914,-78.495801,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.7 MILES E OF SIMMONS GAP RD & BOONESVILLE RD,FREE UNION,VA,22935,2,10 Mbps/1 Mbps,2017,510030101001032,38.241774,-78.562532,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES NW OF LOUISA RD & KESWICK FARM LN,RIVANNA,VA,22947,1,10 Mbps/1 Mbps,2017,510030104013006,38.025518,-78.364618,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.4 MILES SW OF BUSTLEBURG RD & BROWNSBURG TPKE,EAST LEXINGTON,VA,24473,1,10 Mbps/1 Mbps,2017,511639302001320,37.889112,-79.371201,190567
CAF II,"CENTURYLINK, INC.",3316 CARRS RDG,CROZET,VA,22932,2,10 Mbps/1 Mbps,2017,510030101002024,38.133596,-78.706023,190567
CAF II,"CENTURYLINK, INC.",26 MERRY OAKS LN,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650203001003,37.916393,-78.350985,190567
CAF II,"CENTURYLINK, INC.",382 ROLLING RD S,SCOTTSVILLE,VA,24590,2,10 Mbps/1 Mbps,2017,510650203001140,37.808356,-78.365983,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.1 MILES SW OF GOOSE POND RD & CONLEY RD,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301021002,38.337169,-78.509889,190567
CAF II,"CENTURYLINK, INC.",1340 WALDEMAR DR,CHARLOTTESVILLE,VA,22903,1,10 Mbps/1 Mbps,2017,510030112021021,37.9914,-78.621953,190567
CAF II,"CENTURYLINK, INC.",1849 BLUE GRASS TRL,LEXINGTON,VA,24450,1,10 Mbps/1 Mbps,2017,511639303003045,37.735306,-79.595624,190567
CAF II,"CENTURYLINK, INC.",2635 MARTIN KINGS RD,CHARLOTTESVILLE,VA,22902,1,10 Mbps/1 Mbps,2017,510030113013085,37.911066,-78.408933,190567
CAF II,"CENTURYLINK, INC.",5765 GARDEN PATH LN,NORTH GARDEN,VA,22959,1,10 Mbps/1 Mbps,2017,510030114004025,37.877864,-78.616057,190567
CAF II,"CENTURYLINK, INC.",23 WHITE ROCK RD,LEXINGTON,VA,24450,1,10 Mbps/1 Mbps,2017,511639302003178,37.863948,-79.515861,190567
CAF II,"CENTURYLINK, INC.",2659 BROWNS GAP TPKE,CHARLOTTESVILLE,VA,22901,1,10 Mbps/1 Mbps,2017,510030101003063,38.11064,-78.662553,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES E OF MCMULLEN MILL RD & FOOTHILLS RD,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301011041,38.347269,-78.452335,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.1 MILES N OF S CONSTITUTION RTE & REBEL LN,SCOTTSVILLE,VA,24590,2,10 Mbps/1 Mbps,2017,510299301011041,37.729719,-78.497041,190567
CAF II,"CENTURYLINK, INC.",3168 SUTHERLAND RD,NORTH GARDEN,VA,22959,3,10 Mbps/1 Mbps,2017,510030112013099,37.955705,-78.683927,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES NE OF SECRETARYS RD & EYELAND DR,SCOTTSVILLE,VA,24590,3,10 Mbps/1 Mbps,2017,510030113013104,37.902506,-78.475752,190567
CAF II,"CENTURYLINK, INC.",1352 DEEP CREEK RD,PALMYRA,VA,22963,2,10 Mbps/1 Mbps,2017,510650202001091,37.896795,-78.199168,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.6 MILES S OF PAYCOL FARM & FREE UNION RD,FREE UNION,VA,22932,1,10 Mbps/1 Mbps,2017,510030101002080,38.216662,-78.582913,190567
CAF II,"CENTURYLINK, INC.",652 IVY HL,CHARLOTTESVILLE,VA,22903,2,10 Mbps/1 Mbps,2017,510030110004011,38.053655,-78.569095,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES W OF MIDDLE RIVER RD & DOWNEY DR,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301011024,38.373289,-78.430062,190567
CAF II,"CENTURYLINK, INC.",1390 SALEM RD,SCHUYLER,VA,22969,3,10 Mbps/1 Mbps,2017,511259501001054,37.770978,-78.699878,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES NW OF NATURES EDGE & BULL YEARLING RD,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301011059,38.342924,-78.469673,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.3 MILES NW OF THOMAS JEFFERSON PKWY & MILTON RD,PANTOPS,VA,22902,1,10 Mbps/1 Mbps,2017,510030104021030,37.996081,-78.447313,190567
CAF II,"CENTURYLINK, INC.",2545 BYBEES CHURCH RD,PALMYRA,VA,22963,2,10 Mbps/1 Mbps,2017,510650201011050,37.92146,-78.221508,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.1 MILES N OF BROOK HOLLOW LN & BORDEN GRANT TRL,EAST LEXINGTON,VA,24435,1,10 Mbps/1 Mbps,2017,511639301004044,37.831727,-79.3207,190567
CAF II,"CENTURYLINK, INC.",305 BUFFALO TRCE,LEXINGTON,VA,24450,1,10 Mbps/1 Mbps,2017,511639303003088,37.747962,-79.570617,190567
CAF II,"CENTURYLINK, INC.",1475 HUNTERS LODGE RD,TROY,VA,22974,1,10 Mbps/1 Mbps,2017,510650201011047,37.936484,-78.221985,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES N OF SECRETARYS RD & EYELAND DR,SCOTTSVILLE,VA,24590,3,10 Mbps/1 Mbps,2017,510030113013104,37.90058,-78.477816,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.3 MILES SW OF S RIVER RD & MIDFIELDS DRIVE EXT,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301011080,38.337078,-78.460283,190567
CAF II,"CENTURYLINK, INC.",4855 US HIGHWAY 340,SHENANDOAH,VA,22849,1,10 Mbps/1 Mbps,2017,511390305001099,38.569397,-78.595747,190567
CAF II,"CENTURYLINK, INC.",1064 HOLLANDS RD,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650202001059,37.91559,-78.193641,190567
CAF II,"CENTURYLINK, INC.",578 NAHOR MANOR RD,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650203001003,37.906675,-78.357413,190567
CAF II,"CENTURYLINK, INC.",2295 HOMESTEAD FARM RD,FREE UNION,VA,22940,1,10 Mbps/1 Mbps,2017,510030101003001,38.163418,-78.579988,190567
CAF II,"CENTURYLINK, INC.",1285 WIDE GAP RD,LEXINGTON,VA,24450,1,10 Mbps/1 Mbps,2017,511639303003088,37.742578,-79.586901,190567
CAF II,"CENTURYLINK, INC.",1793 BLUE GRASS TRL,LEXINGTON,VA,24450,2,10 Mbps/1 Mbps,2017,511639303003045,37.736869,-79.593832,190567
CAF II,"CENTURYLINK, INC.",4268 PIGEON TOP TRL,CROZET,VA,22932,1,10 Mbps/1 Mbps,2017,510030101002100,38.140681,-78.65081,190567
CAF II,"CENTURYLINK, INC.",5134 VIEWMONT WEST DR,CHARLOTTESVILLE,VA,22902,1,10 Mbps/1 Mbps,2017,510030113014022,37.898324,-78.554717,190567
CAF II,"CENTURYLINK, INC.",471 BLUE RIDGE VIEW LN,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650201011050,37.927321,-78.218588,190567
CAF II,"CENTURYLINK, INC.",3735 DOGWOOD DR,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650202001059,37.923959,-78.1824,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES NE OF CHURCH HILL FARM RD & CHURCH HILL FARM,SCOTTSVILLE,VA,24590,1,10 Mbps/1 Mbps,2017,510030114001008,37.852993,-78.528809,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES NW OF W DENNY CIR & E DENNY CIR,LEXINGTON,VA,24450,4,10 Mbps/1 Mbps,2017,516789305002002,37.792424,-79.443478,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES NE OF WHITE ROCK RD & ROCK ISLAND RD,SCOTTSVILLE,VA,24590,3,10 Mbps/1 Mbps,2017,510299301011041,37.726421,-78.521915,190567
CAF II,"CENTURYLINK, INC.",1121 MONACAN TRAIL RD,CHARLOTTESVILLE,VA,22903,1,10 Mbps/1 Mbps,2017,510030112021070,38.008309,-78.566,190567
CAF II,"CENTURYLINK, INC.",890 CHURCH HILL FARM,SCOTTSVILLE,VA,24590,1,10 Mbps/1 Mbps,2017,510030114001008,37.852716,-78.527648,190567
CAF II,"CENTURYLINK, INC.",1905 HUNTERS LODGE RD,TROY,VA,22974,1,10 Mbps/1 Mbps,2017,510650201011047,37.935035,-78.214413,190567
CAF II,"CENTURYLINK, INC.",456 FUTURE OAK LN,EARLYSVILLE,VA,22936,1,10 Mbps/1 Mbps,2017,510030101001057,38.190872,-78.484745,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES N OF HEARTWOOD RD & CRYSTAL SPRING LN,CROZET,VA,22920,1,10 Mbps/1 Mbps,2017,510030112013051,37.968046,-78.715407,190567
CAF II,"CENTURYLINK, INC.",132 BACK DRAFT RD,ROCKBRIDGE BATHS,VA,24473,1,10 Mbps/1 Mbps,2017,511639302001319,37.892054,-79.389406,190567
CAF II,"CENTURYLINK, INC.",1520 HUNTERS LODGE RD,TROY,VA,22974,1,10 Mbps/1 Mbps,2017,510650201011050,37.93421,-78.221327,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES SW OF PARADISE CT & BUCK MOUNTAIN RD,FREE UNION,VA,22901,1,10 Mbps/1 Mbps,2017,510030101003007,38.155291,-78.54669,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES NE OF MOUNTAIN VIEW TRL & MOUNTAIN LAUREL PASS,STANARDSVILLE,VA,22973,2,10 Mbps/1 Mbps,2017,510790301011082,38.337301,-78.483997,190567
CAF II,"CENTURYLINK, INC.",4475 WESLEY CHAPEL RD,FREE UNION,VA,22940,2,10 Mbps/1 Mbps,2017,510030101003001,38.157287,-78.581324,190567
CAF II,"CENTURYLINK, INC.",4580 WESLEY CHAPEL RD,FREE UNION,VA,22940,1,10 Mbps/1 Mbps,2017,510030101003017,38.156723,-78.585108,190567
CAF II,"CENTURYLINK, INC.",3082 GARTH RD,CHARLOTTESVILLE,VA,22901,1,10 Mbps/1 Mbps,2017,510030101003058,38.103856,-78.59605,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.3 MILES N OF JORDAN STORE RD & DEEP CREEK RD,PALMYRA,VA,23084,1,10 Mbps/1 Mbps,2017,510650202001029,37.919783,-78.133359,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES NW OF MIDDLE RIVER RD & DOWNEY DR,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301011024,38.375561,-78.432627,190567
CAF II,"CENTURYLINK, INC.",1633 BELL FARMS LN,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650203001118,37.85574,-78.349862,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.1 MILES SW OF CHAPMAN RD & CELT RD,TWIN LAKES,VA,22973,1,10 Mbps/1 Mbps,2017,510790301024059,38.237647,-78.484807,190567
CAF II,"CENTURYLINK, INC.",1872 HOLLANDS RD,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650202001059,37.924319,-78.202625,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.3 MILES SE OF FREE UNION RD & CATTERTON RD,FREE UNION,VA,22940,1,10 Mbps/1 Mbps,2017,510030101001064,38.186618,-78.567009,190567
CAF II,"CENTURYLINK, INC.",1464 BLUE GRASS TRL,LEXINGTON,VA,24450,1,10 Mbps/1 Mbps,2017,511639303003088,37.741142,-79.584994,190567
CAF II,"CENTURYLINK, INC.",2195 HOMESTEAD FARM RD,FREE UNION,VA,22940,2,10 Mbps/1 Mbps,2017,510030101003002,38.162686,-78.576129,190567
CAF II,"CENTURYLINK, INC.",3208 OLD LYNCHBURG RD,NORTH GARDEN,VA,22959,1,10 Mbps/1 Mbps,2017,510030112022030,37.923503,-78.616773,190567
CAF II,"CENTURYLINK, INC.",1816 OLD ORCHARD RD,FREE UNION,VA,22940,1,10 Mbps/1 Mbps,2017,510030101003007,38.155703,-78.562754,190567
CAF II,"CENTURYLINK, INC.",8251 ROCKFISH RIVER RD,SCHUYLER,VA,22969,1,10 Mbps/1 Mbps,2017,511259501001002,37.795261,-78.719482,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.3 MILES E OF RUTHERFORD RD & FREE UNION RD,FREE UNION,VA,22901,1,10 Mbps/1 Mbps,2017,510030101003020,38.149993,-78.555857,190567
CAF II,"CENTURYLINK, INC.",1571 MONACAN TRAIL RD,CHARLOTTESVILLE,VA,22903,1,10 Mbps/1 Mbps,2017,510030112021093,37.999439,-78.57939,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.1 MILES S OF HICKORYTOP LN & CRANBERRY LN,EAST LEXINGTON,VA,24450,2,10 Mbps/1 Mbps,2017,511639301006038,37.856016,-79.360229,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.5 MILES W OF FUTURE OAK LN & BUFFALO RIVER RD,FREE UNION,VA,22936,1,10 Mbps/1 Mbps,2017,510030101001057,38.192119,-78.492843,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.3 MILES S OF W RIVER RD & HARDWARE RD,SCOTTSVILLE,VA,24590,1,10 Mbps/1 Mbps,2017,510650203002046,37.781943,-78.390337,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES E OF LAKE ALBEMARLE RD & GARTH RD,IVY,VA,22901,3,10 Mbps/1 Mbps,2017,510030101003072,38.115232,-78.634731,190567
CAF II,"CENTURYLINK, INC.",2089 BUCK MOUNTAIN RD,FREE UNION,VA,22940,1,10 Mbps/1 Mbps,2017,510030101003007,38.155969,-78.552517,190567
CAF II,"CENTURYLINK, INC.",3759 CLARK RD,CROZET,VA,22932,1,10 Mbps/1 Mbps,2017,510030101002124,38.127161,-78.63006,190567
CAF II,"CENTURYLINK, INC.",355 BLOOMFIELD RD,CHARLOTTESVILLE,VA,22903,1,10 Mbps/1 Mbps,2017,510030110004012,38.04477,-78.581938,190567
CAF II,"CENTURYLINK, INC.",4351 CLARK RD,CROZET,VA,22932,3,10 Mbps/1 Mbps,2017,510030101002124,38.13254,-78.651603,190567
CAF II,"CENTURYLINK, INC.",345 BACK DRAFT RD,ROCKBRIDGE BATHS,VA,24473,1,10 Mbps/1 Mbps,2017,511639302001313,37.897576,-79.386761,190567
CAF II,"CENTURYLINK, INC.",3897 FREE UNION RD,CHARLOTTESVILLE,VA,22901,1,10 Mbps/1 Mbps,2017,510030101003021,38.144022,-78.553613,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.1 MILES NE OF W MIDLAND TRL & SOURWOOD LN,EAST LEXINGTON,VA,24450,2,10 Mbps/1 Mbps,2017,511639302003187,37.861848,-79.509724,190567
